id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;qrcode_path;qrcode_data;inputer;create_at;last_updated;;;;;;;;;;;;;;;;
1;QAIR001;KEU2QAIR0011;KATBR002;Air Mineral;Cleo Gelas;3;Karisma.png;;;KEU02;14/10/2024;KEU02;;;KATBR002;;;;;a;b;;;;;;;
2;QAIR002;KEU2QAIR0012;KATBR002;Air Mineral;Cleo Botol;15;Karisma.png;;;KEU02;14/10/2024;KEU02;;;KATBR001;KATBR001;;KATBR002;;box;3;;Btl;1;Btl;;;
3;QAIR003;KEU2QAIR0013;KATBR001;Air Mineral;Cleo Galon Refil;16;Karisma.png;;;KEU02;14/10/2024;KEU02;;;RTK;KATBR002;;KATBR002;;slop;15;;Pcs;2;Pcs;;;
4;QALA002;KEU2QALA0024;KATBR001;Alat Pel;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;galon;16;;Box;3;Box;;;
5;QALA001;KEU2QALA0015;KATBR001;Alat Pengharum ruangan Stella + Refil;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Roll;4;Roll;;;
6;QAMP005;KEU2QAMP0056;KATBR001;Amplop;Kecil Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Drum;5;Drum;;;
7;QAMP004;KEU2QAMP0047;KATBR001;Amplop;Sedang Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Zak;6;Zak;;;
8;QAMP007;KEU2QAMP0078;KATBR001;Amplop;Kecil Non Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;SatuanContoh;8;SatuanContoh;;;
9;QAMP006;KEU2QAMP0069;KATBR001;Amplop;Panjang Non Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Kg;9;Kg;;;
10;QAMP002;KEU2QAMP00210;KATBR001;Amplop;Besar Polos;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Ltr;10;Ltr;;;
11;QAMP003;KEU2QAMP00311;KATBR001;Amplop;Panjang Perekat;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Pack;11;Pack;;;
12;QAMP001;KEU2QAMP00112;KATBR001;Amplop;Besar Tali;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;Pail;12;Pail;;;
13;QBAN001;KEU2QBAN00113;KATBR002;Ban;Ban Original Gajah Tunggal;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;Gal;13;Gal;;;
14;QBAN002;KEU2QBAN00214;KATBR002;Ban;Ban Original Aeolus;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;Ember;14;Ember;;;
15;QBAT002;KEU2QBAT00215;KATBR002;Batrai;AA1;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;slop;15;slop;;;
16;QBAT001;KEU2QBAT00116;KATBR002;Batrai;Charger AAA;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;galon;16;galon;;;
17;QBAT003;KEU2QBAT00317;KATBR002;Batrai;AAA;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;kotak;17;kotak;;;
18;QBER002;KEU2QBER00218;KATBR002;Beras Jagung;;9;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;kaleng;18;kaleng;;;
19;QBER001;KEU2QBER00119;KATBR001;Beras Menir;;9;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;kg;9;;bendel;19;bendel;;;
20;QBUB01;KEU2QBUB0120;KATBR001;Buble Wrap;Hitam;4;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kg;9;;lembar;20;lembar;;;
21;QBUK001;KEU2QBUK00121;KATBR001;Buku Tulis;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;roll;4;;lbr;21;lbr;;;
22;QBUL002;KEU2QBUL00222;KATBR001;Bulpen;Biru;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
23;QBUL001;KEU2QBUL00123;KATBR001;Bulpen;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
24;QBUL003;KEU2QBUL00324;KATBR001;Bulpen;Merah;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
25;QCAT001;KEU2QCAT00125;KATBR002;Cat Besi Emco;Hitam;18;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
26;QCAT002;KEU2QCAT00226;KATBR002;Cat Besi Emco;Merah;18;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;kaleng;18;;;;;;;
27;QCDR001;KEU2QCDR00127;KATBR002;CDR;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;kaleng;18;;;;;;;
28;QCHU001;KEU2QCHU00128;KATBR002;Chuck kepala pompa angin;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;lembar
29;QCLE001;KEU2QCLE00129;KATBR002;Cleer Porcelain Cleaner;;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;kaleng
30;QCLI001;KEU2QCLI00130;KATBR002;Cling;425 ml Apple Fresh;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;btl;1;;;;;;;kotak
31;QCPU001;KEU2QCPU00131;KATBR002;CPU PC;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pack;11;;;;;;;
32;QCUT001;KEU2QCUT00132;KATBR002;Cutter;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
33;QDET001;KEU2QDET00133;KATBR002;Dettol;750 ml;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
34;QDIS001;KEU2QDIS00134;KATBR002;Disket;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;btl;1;;;;;;;
35;QEKO001;KEU2QEKO00135;KATBR002;Ekonomi ;1500 ml Jeruk Nipis;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
36;QFOG001;KEU2QFOG00136;KATBR002;Fog Lamp;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pack;11;;;;;;;
37;QGEM001;KEU2QGEM00137;KATBR001;Gembok;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
38;QGUN001;KEU2QGUN00138;KATBR001;Gunting;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
39;QHAR001;KEU2QHAR00139;KATBR001;Harpic;450 ml Original;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
40;QHDS001;KEU2QHDS00140;KATBR001;Hd ssd 128gb;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;btl;1;;;;;;;
41;QISI008;KEU2QISI00841;KATBR001;Isi Bulpen;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
42;QISI007;KEU2QISI00742;KATBR001;Isi Bulpen;Biru;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
43;QISI006;KEU2QISI00643;KATBR001;Isi Bulpen;Merah;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
44;QISI010;KEU2QISI01044;KATBR001;Isi Bulpen ;Pak Agoes;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
45;QISI005;KEU2QISI00545;KATBR001;Isi Cutter;Kecil;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
46;QISI004;KEU2QISI00446;KATBR001;Isi Cutter;Besar;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
47;QISI009;KEU2QISI00947;KATBR001;Isi Pensil;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
48;QISI003;KEU2QISI00348;KATBR001;Isi Staples;No. 1215;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
49;QISI002;KEU2QISI00249;KATBR001;Isi Staples;No. 10;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
50;QISI001;KEU2QISI00150;KATBR001;Isi Staples;No. 3;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
51;QISO001;KEU2QISO00151;KATBR001;Isolasi;Hitam Sedang;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
52;QISO002;KEU2QISO00252;KATBR001;Isolasi;Sedang Lubang Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
53;QISO003;KEU2QISO00353;KATBR001;Isolasi;Double Tape Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
54;QISO004;KEU2QISO00454;KATBR001;Isolasi;Kecil Lubang Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
55;QISO005;KEU2QISO00555;KATBR001;Isolasi;Hitam kecil;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
56;QJAR001;KEU2QJAR00156;KATBR001;Jarum Karung;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
57;QKAL001;KEU2QKAL00157;KATBR001;Kalender;Harian Cina;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
58;QKAL002;KEU2QKAL00258;KATBR001;Kalender;Bali;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
59;QKAR001;KEU2QKAR00159;KATBR001;Karet;;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
60;QKAR002;KEU2QKAR00260;KATBR001;Kartu Nama;;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
61;QKAR003;KEU2QKAR00361;KATBR001;Kartu Stok;Kuning;19;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
62;QKER010;KEU2QKER01062;KATBR001;Kertas ;Flipcart;20;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;bendel;19;;;;;;;
63;QKER005;KEU2QKER00563;KATBR001;Kertas ;Karbon;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;lembar;20;;;;;;;
64;QKER009;KEU2QKER00964;KATBR001;Kertas ;3 Ply NCR;3;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
65;QKER007;KEU2QKER00765;KATBR001;Kertas ;A4;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;box;3;;;;;;;
66;QKER008;KEU2QKER00866;KATBR001;Kertas ;4 Ply NCR PRS;3;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
67;QKER004;KEU2QKER00467;KATBR001;Kertas ;Label;21;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;box;3;;;;;;;
68;QKER006;KEU2QKER00668;KATBR001;Kertas ;F4;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;lbr;21;;;;;;;
69;QKER001;KEU2QKER00169;KATBR001;Kertas ;Stiker;21;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
70;QKER002;KEU2QKER00270;KATBR001;Kertas ;Loose Leaf B5;21;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;lbr;21;;;;;;;
71;QKER003;KEU2QKER00371;KATBR001;Kertas ;Loose Leaf A5;21;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;lbr;21;;;;;;;
72;QKES001;KEU2QKES00172;KATBR001;Keset;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;lbr;21;;;;;;;
73;QKLI001;KEU2QKLI00173;KATBR001;Klip Trigonal;;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
74;QKRE002;KEU2QKRE00274;KATBR001;Kresek ;Putih 21 x 40 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
75;QKRE010;KEU2QKRE01075;KATBR001;Kresek ;Hitam 24 cm;9;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
